label;cv_fold;time;percentage;R2;RMSE;pretraining
0;0;42;0.01;0.61360345;0.326548252;False
0;0;42;0.02;0.563870278;0.346927388;False
0;0;42;0.04;0.703618111;0.285993771;False
0;0;42;0.1;0.747353077;0.26405096;False
0;0;42;0.2;0.959076163;0.106272016;False
1;0;42;0.01;0.576458937;0.33902098;False
1;0;42;0.02;0.65419624;0.306332919;False
1;0;42;0.04;0.793451931;0.23674967;False
1;0;42;0.1;0.817941921;0.222271506;False
1;0;42;0.2;0.84939256;0.202163164;False
0;0;421;0.01;0.587356822;0.337456718;False
0;0;421;0.02;0.622934706;0.322581178;False
0;0;421;0.04;0.764469679;0.254949494;False
0;0;421;0.1;0.679035507;0.297618031;False
0;0;421;0.2;0.927598558;0.141352779;False
1;0;421;0.01;0.568504257;0.342189809;False
1;0;421;0.02;0.629509702;0.31707882;False
1;0;421;0.04;0.829825623;0.214894796;False
1;0;421;0.1;0.879840189;0.180575336;False
1;0;421;0.2;0.925080632;0.142585665;False
0;0;422;0.01;0.614780873;0.326050345;False
0;0;422;0.02;0.703308987;0.286142877;False
0;0;422;0.04;0.760289042;0.257202205;False
0;0;422;0.1;0.507488572;0.368670934;False
0;0;422;0.2;0.899030215;0.16692695;False
1;0;422;0.01;0.351077873;0.419638287;False
1;0;422;0.02;0.620245756;0.321018552;False
1;0;422;0.04;0.786134244;0.240907011;False
1;0;422;0.1;0.89729378;0.166946449;False
1;0;422;0.2;0.941203633;0.126314748;False
0;1;42;0.01;0.086440529;0.380405012;False
0;1;42;0.02;0.515632241;0.276990856;False
0;1;42;0.04;0.566899651;0.261922064;False
0;1;42;0.1;0.900776419;0.125367587;False
0;1;42;0.2;0.916364735;0.115099262;False
1;1;42;0.01;-0.719599181;0.293693385;False
1;1;42;0.02;-1.631313808;0.363301234;False
1;1;42;0.04;0.285905295;0.189259835;False
1;1;42;0.1;0.833004449;0.09152358;False
1;1;42;0.2;0.888967301;0.074628721;False
0;1;421;0.01;-0.715013983;0.521208693;False
0;1;421;0.02;0.460524298;0.292323522;False
0;1;421;0.04;0.57289684;0.260102311;False
0;1;421;0.1;0.851633495;0.153301269;False
0;1;421;0.2;0.952924804;0.086352295;False
1;1;421;0.01;-0.618628203;0.284940448;False
1;1;421;0.02;0.107503266;0.211584509;False
1;1;421;0.04;-0.101453277;0.235051805;False
1;1;421;0.1;0.83781199;0.090196549;False
1;1;421;0.2;0.907138112;0.068249473;False
0;1;422;0.01;-0.069137799;0.411523519;False
0;1;422;0.02;0.474664799;0.288466954;False
0;1;422;0.04;0.527800086;0.273489571;False
0;1;422;0.1;0.875016313;0.140703365;False
0;1;422;0.2;0.959440296;0.080154002;False
1;1;422;0.01;-0.637004677;0.286553364;False
1;1;422;0.02;0.418155412;0.170837831;False
1;1;422;0.04;0.15503899;0.205872759;False
1;1;422;0.1;0.592467805;0.142975463;False
1;1;422;0.2;0.904519533;0.069205055;False
0;2;42;0.01;0.206686205;0.357645718;False
0;2;42;0.02;0.362166439;0.320689108;False
0;2;42;0.04;0.038164634;0.393804702;False
0;2;42;0.1;0.636152909;0.242208834;False
0;2;42;0.2;0.900860397;0.126431157;False
1;2;42;0.01;0.135787806;0.194271538;False
