label;cv_fold;time;percentage;R2;RMSE;test_monomerA
0;0;42;0.01;0.558652461;0.348996521;[*:1]c1cc(F)c([*:2])cc1F
0;0;42;0.02;0.36456753;0.418760245;[*:1]c1cc(F)c([*:2])cc1F
0;0;42;0.04;0.703586867;0.286008845;[*:1]c1cc(F)c([*:2])cc1F
0;0;42;0.1;0.846980379;0.20549644;[*:1]c1cc(F)c([*:2])cc1F
0;0;42;0.2;0.858711111;0.197462553;[*:1]c1cc(F)c([*:2])cc1F
1;0;42;0.01;0.707053048;0.281950784;[*:1]c1cc(F)c([*:2])cc1F
1;0;42;0.02;0.799341168;0.23335008;[*:1]c1cc(F)c([*:2])cc1F
1;0;42;0.04;0.802827785;0.231313869;[*:1]c1cc(F)c([*:2])cc1F
1;0;42;0.1;0.891710791;0.171423913;[*:1]c1cc(F)c([*:2])cc1F
1;0;42;0.2;0.891681749;0.171446898;[*:1]c1cc(F)c([*:2])cc1F
0;0;421;0.01;0.686975875;0.293913577;[*:1]c1cc(F)c([*:2])cc1F
0;0;421;0.02;0.62879953;0.320062654;[*:1]c1cc(F)c([*:2])cc1F
0;0;421;0.04;0.846391029;0.205891792;[*:1]c1cc(F)c([*:2])cc1F
0;0;421;0.1;0.928542083;0.140428714;[*:1]c1cc(F)c([*:2])cc1F
0;0;421;0.2;0.957938265;0.107739346;[*:1]c1cc(F)c([*:2])cc1F
1;0;421;0.01;0.634678185;0.314859366;[*:1]c1cc(F)c([*:2])cc1F
1;0;421;0.02;0.735723402;0.267798517;[*:1]c1cc(F)c([*:2])cc1F
1;0;421;0.04;0.826232373;0.217151707;[*:1]c1cc(F)c([*:2])cc1F
1;0;421;0.1;0.944567564;0.122648092;[*:1]c1cc(F)c([*:2])cc1F
1;0;421;0.2;0.956725035;0.108367031;[*:1]c1cc(F)c([*:2])cc1F
0;0;422;0.01;0.695013315;0.290115667;[*:1]c1cc(F)c([*:2])cc1F
0;0;422;0.02;0.693716999;0.290731568;[*:1]c1cc(F)c([*:2])cc1F
0;0;422;0.04;0.713137791;0.281363276;[*:1]c1cc(F)c([*:2])cc1F
0;0;422;0.1;0.846193781;0.206023942;[*:1]c1cc(F)c([*:2])cc1F
0;0;422;0.2;0.830957735;0.21598739;[*:1]c1cc(F)c([*:2])cc1F
1;0;422;0.01;0.520207942;0.360832246;[*:1]c1cc(F)c([*:2])cc1F
1;0;422;0.02;0.717436455;0.276908878;[*:1]c1cc(F)c([*:2])cc1F
1;0;422;0.04;0.798890532;0.23361196;[*:1]c1cc(F)c([*:2])cc1F
1;0;422;0.1;0.856969646;0.197012109;[*:1]c1cc(F)c([*:2])cc1F
1;0;422;0.2;0.929568236;0.13824935;[*:1]c1cc(F)c([*:2])cc1F
0;1;42;0.01;0.562777668;0.263165519;[*:1]c1cc2cc3sc([*:2])cc3cc2s1
0;1;42;0.02;0.635548343;0.240269023;[*:1]c1cc2cc3sc([*:2])cc3cc2s1
0;1;42;0.04;0.620347951;0.245228359;[*:1]c1cc2cc3sc([*:2])cc3cc2s1
0;1;42;0.1;0.924444521;0.109398357;[*:1]c1cc2cc3sc([*:2])cc3cc2s1
0;1;42;0.2;0.945937386;0.092539327;[*:1]c1cc2cc3sc([*:2])cc3cc2s1
1;1;42;0.01;0.15978298;0.205294015;[*:1]c1cc2cc3sc([*:2])cc3cc2s1
