PL;norm;percentage;pretraining;R2_mean;R2_std;RMSE_mean;RMSE_std
False;1;0.01;False;-0.3876433255787956;1.037321803433104;0.48186528130907424;0.16117771824038207
False;1;0.01;True;-0.49823499399521687;1.9947375554674958;0.4531162056659222;0.12978642688680214
False;1;0.02;False;0.19363095961322704;0.6867591883799559;0.35752588438531147;0.0840762806972237
False;1;0.02;True;0.24188502497206277;0.6127954237282489;0.3423877338796628;0.07364810890805898
False;1;0.04;False;0.30401951423747453;0.48099534979005815;0.33315780902374453;0.09374591272931546
False;1;0.04;True;0.29944266192287333;0.6410776173537369;0.3218119377867808;0.08945944159450359
False;1;0.1;False;0.7794378916993473;0.15117148720371645;0.19160493286355754;0.05133037722576289
False;1;0.1;True;0.7767883051442013;0.14927539342201512;0.1947270334350818;0.046011995272711596
False;1;0.2;False;0.870030328591776;0.07787541698972365;0.15055891508224103;0.045324926904999896
False;1;0.2;True;0.8741881063955631;0.061651315853901725;0.14953474198903963;0.04087291429693875
