PL;norm;percentage;pretraining;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;True;0.6860977411270142;0.03416752399990437;0.33817774482437385;0.01818318325894125
False;0;0.02;True;0.794096827507019;0.0299712779664547;0.27362728203201386;0.02033392110271607
False;0;0.04;True;0.8627744853496552;0.027765264954315725;0.22280415626185007;0.02152244572153734
False;0;0.1;True;0.9307192683219909;0.009593998491145235;0.15874423885242736;0.01062099015998825
False;0;0.2;True;0.9656582236289978;0.009004223081884373;0.11123609924388296;0.01321631342139949
False;1;0.01;True;0.6587671995162964;0.06727949843507569;0.3516397158102912;0.03319256454546584
False;1;0.02;True;0.8134262800216675;0.029402606966627217;0.26050033145332285;0.022461154313105663
False;1;0.04;True;0.861769163608551;0.028191124054608687;0.22377649687762818;0.02148448675801477
False;1;0.1;True;0.939066219329834;0.0026008637484835877;0.14916683078928378;0.003158345982126136
True;0;0.01;False;0.49083788792292277;0.16230330843872917;0.4277971056777415;0.06269677683965881
True;0;0.01;True;0.6876257538795472;0.05133248687790856;0.33674389543647;0.026655849075061442
True;0;0.02;False;0.7268180847167969;0.07130820034676656;0.3139985522679604;0.039850206679785616
True;0;0.02;True;0.7913256525993347;0.0445242820262243;0.27465768432815;0.026154575326766294
True;0;0.04;False;0.8460310816764831;0.03104224894880766;0.23602178502301535;0.02476851671263955
True;0;0.04;True;0.8751144349575043;0.01831724854401256;0.21308449709205882;0.014427445425971089
True;0;0.1;False;0.917842169602712;0.044851962616151715;0.16860713510945177;0.041168010427336844
True;0;0.1;True;0.9338369051615397;0.026228151070487607;0.15320556138966399;0.02618673159803025
True;0;0.2;False;0.9616266647974651;0.011853841761245687;0.11729297865628611;0.017447787321762
True;0;0.2;True;0.963709580898285;0.0115236103026343;0.11395466102089281;0.016814337699588663
True;1;0.01;False;0.5044606407483418;0.13187266259593086;0.4223896915561834;0.052311140781506456
True;1;0.01;True;0.647218543291092;0.046342381649864386;0.3583575386909311;0.02508971768639873
True;1;0.02;False;0.7601470470428466;0.05043331315140697;0.2946977057992849;0.029338512054758077
True;1;0.02;True;0.8020729541778564;0.030230949501216305;0.2680929804571641;0.018423197758260335
True;1;0.04;False;0.835379175345103;0.038519194335190035;0.24365312990605936;0.027440447240737586
True;1;0.04;True;0.8514634966850281;0.04412749635777661;0.23064173316809575;0.03189984272235677
True;1;0.1;False;0.9289283355077108;0.01812232324241873;0.1600013556845194;0.01979778577445619
True;1;0.1;True;0.9266906917095185;0.035932341636423955;0.16057282091385877;0.03392749294445533
